timestamp,pitch,posture,score
1671581789.591452,-57.8561,0,2
1671581794.591635,-37.2532,0,1
1671581799.594532,-30.3302,0,1
1671581804.597319,-52.9443,0,2
1671581809.599969,-68.1178,1,3
1671581814.600213,-37.5815,0,1
1671581819.600944,-55.7335,0,2
1671581824.601961,-25.5494,0,1
1671581829.603025,-22.6164,0,1
1671581834.604881,-48.0581,0,2
1671581839.605849,-22.4939,0,1
1671581844.608527,-47.6334,0,2
1671581849.614739,-57.3011,0,2
1671581854.615261,-81.8921,1,4
1671581859.616935,-44.8731,0,1
1671581864.61797,-24.1281,0,1
1671581869.620302,-74.3948,1,3
1671581874.621345,-58.8515,0,2
1671581879.621864,-43.5614,0,1
1671581884.622975,-57.3955,0,2
1671581889.623489,-73.0066,1,3
1671581894.624829,-84.0899,1,4
1671581899.625456,-82.0221,1,4
1671581904.625521,-56.4288,0,2
1671581909.626659,-84.2199,1,4
1671581914.627407,-45.7431,0,2
1671581919.628566,-73.5232,1,3
1671581924.629622,-77.8356,1,4
1671581929.632202,-45.4599,0,2
1671581934.657257,-65.599,1,3
1671581939.665696,-42.2846,0,1
1671581944.67333,-27.7627,0,1
1671584418.599573,-35.6168,0,1
1671584423.619827,-46.4399,0,2
1671584428.623067,-50.0965,0,2
1671584433.625482,-83.2665,1,4
1671584438.625564,-51.8437,0,2
1671584443.628074,-42.4002,0,1
1671584448.631304,-26.596,0,1
1671584453.633032,-33.6721,0,1
1671584458.633038,-55.9992,0,2
1671584463.635703,-26.6605,0,1
1671584468.643657,-74.4997,1,3
1671584473.644487,-52.8977,0,2
1671584478.644558,-77.0094,1,4
1671584483.645627,-70.2364,1,3
1671584488.645779,-52.7287,0,2
1671584493.647275,-36.832,0,1
1671584498.64747,-52.3698,0,2
1671584503.647624,-55.7772,0,2
1671584508.647998,-49.9148,0,2
1671584513.649296,-68.4568,1,3
1671584518.667512,-23.3989,0,1
1671584523.668642,-38.9023,0,1
1671584528.68253,-69.0078,1,3
1671584533.696173,-22.0325,0,1
1671584538.696668,-59.5475,0,2
1671584543.711601,-46.7292,0,2
1671584548.721706,-21.5615,0,1
1671584553.72302,-50.0302,0,2
1671584558.724976,-54.0552,0,2
1671584563.726168,-73.3174,1,3
1671584568.739994,-36.8511,0,1
1671584573.754973,-80.6826,1,4
1671584578.75555,-76.835,1,4
1671584583.767932,-23.6525,0,1
1671584588.768029,-72.6581,1,3
1671584593.782649,-71.1701,1,3
1671584598.783544,-62.3799,0,2
1671584603.784633,-82.0751,1,4
1671584608.785466,-30.0412,0,1
1671584808.778167,-37.6682,0,1
1671584813.778851,-72.3609,1,3
1671584818.781665,-68.9861,1,3
1671584823.785504,-51.1054,0,2
1671584828.040252,-60.066,0,2
1671628185.031727,-56.2565,0,2
1671628190.053158,-72.6857,1,3
1671628195.054838,-25.8072,0,1
1671628200.069435,-41.233,0,1
1671628205.080257,-62.0189,0,2
1671628210.083159,-59.4759,0,2
1671628215.095371,-54.8731,0,2
1671628220.09985,-35.7544,0,1
1671628225.111368,-66.8349,1,3
1671628230.12264,-55.516,0,2
1671628235.14,-70.929,1,3
1671628240.155538,-20.5408,0,1
1671628245.1747,-42.3878,0,1
1671628250.196508,-60.8826,0,2
1671628255.214858,-22.5255,0,1
1671628260.229764,-74.1065,1,3
1671628265.233553,-62.2013,0,2
1671628270.239388,-66.8668,1,3
1671628275.244704,-23.7418,0,1
1671628280.258528,-78.5324,1,4
1671628285.268871,-68.7216,1,3
1671628290.285818,-37.4945,0,1
1671628295.346145,-70.023,1,3
1671628300.348496,-44.7935,0,1
1671628305.351624,-68.7861,1,3
1671628310.356581,-42.9214,0,1
1671628315.358908,-21.0596,0,1
1671628320.363969,-68.6624,1,3
1671628325.377832,-27.7747,0,1
1671628330.381148,-37.634,0,1
1671628335.390668,-75.7603,1,4
1671628340.398029,-38.5738,0,1
1671628345.410557,-56.8208,0,2
1671628350.413751,-45.7189,0,2
